datetime	user	rtypes	ptypes	cum_rtypes	cum_ptypes
2005-11-06 10:00:02	parg	0	1	0	1
2006-02-01 02:48:31	parg	0	0	0	1
2006-02-21 16:27:03	parg	0	0	0	1
2006-02-21 16:43:21	parg	0	0	0	1
2006-02-21 16:50:53	parg	0	0	0	1
2006-03-22 12:40:29	the8472	0	2	0	2
2006-03-22 15:16:45	the8472	0	0	0	2
2006-03-23 15:26:50	the8472	0	4	0	6
2006-03-23 15:42:55	the8472	0	0	0	6
2006-03-27 11:59:46	gudy	0	1	0	1
2006-03-27 13:58:23	gudy	0	0	0	1
2006-03-27 17:41:26	the8472	0	0	0	6
2006-03-27 17:41:27	the8472	0	0	0	6
2006-03-28 09:39:48	gudy	0	0	0	1
2006-03-28 17:35:51	the8472	0	4	0	10
2006-04-08 18:42:50	the8472	0	0	0	10
2006-04-08 18:42:51	the8472	0	0	0	10
2006-04-12 16:48:25	the8472	0	1	0	11
2006-04-23 18:17:31	the8472	0	0	0	11
2006-04-24 17:10:53	parg	0	19	0	20
2006-04-24 19:05:05	the8472	0	2	0	13
2006-04-26 15:29:05	shadowmatter	0	6	0	6
2006-04-26 15:30:55	shadowmatter	0	0	0	6
2006-04-26 15:32:21	shadowmatter	0	0	0	6
2006-04-29 17:29:18	shadowmatter	0	3	0	9
2006-05-02 04:57:51	parg	0	0	0	20
2006-05-02 17:07:53	the8472	0	2	0	15
2006-05-03 14:48:23	the8472	0	0	0	15
2006-05-04 04:47:48	parg	0	0	0	20
2006-05-04 19:40:07	shadowmatter	0	5	0	14
2006-05-04 19:42:14	shadowmatter	0	-1	0	13
2006-05-04 19:42:28	shadowmatter	0	0	0	13
2006-05-04 19:56:57	shadowmatter	0	6	0	19
2006-05-05 08:13:11	parg	0	0	0	20
2006-05-05 13:30:58	shadowmatter	0	0	0	19
2006-05-05 15:32:02	ledlie	0	0	0	0
2006-05-06 19:43:41	shadowmatter	0	0	0	19
2006-05-12 17:55:01	ledlie	0	0	0	0
2006-05-13 14:08:09	the8472	0	0	0	15
2006-05-13 17:51:13	ledlie	0	1	0	1
