datetime	user	rtypes	ptypes	cum_rtypes	cum_ptypes
2000-12-09 15:29:51	egamma	1	0	1	0
2000-12-11 14:20:03	egamma	3	0	4	0
2001-01-09 15:39:50	egamma	35	0	39	0
2001-01-10 15:23:52	egamma	0	0	39	0
2001-01-16 16:06:23	egamma	0	0	39	0
2001-04-01 14:22:16	egamma	0	0	39	0
2001-04-07 17:18:42	egamma	0	0	39	0
2001-05-21 12:50:15	egamma	0	0	39	0
2001-05-21 12:50:16	egamma	3	0	42	0
2001-10-02 12:38:22	kbeck	0	0	0	0
2001-10-19 14:48:32	kbeck	3	0	3	0
2001-10-20 19:30:18	kbeck	0	0	3	0
2001-10-22 14:12:02	kbeck	0	0	3	0
2001-10-23 21:21:17	emeade	0	0	0	0
2001-10-29 11:47:45	emeade	0	0	0	0
2001-11-01 17:37:53	emeade	0	0	0	0
2001-11-01 17:38:21	emeade	0	0	0	0
2002-03-29 08:10:13	kbeck	0	0	3	0
2002-03-30 14:37:40	egamma	1	0	43	0
2002-03-30 14:37:41	egamma	2	0	45	0
2002-03-31 10:09:28	kbeck	0	0	3	0
2002-03-31 13:18:42	egamma	0	0	45	0
2002-04-01 14:57:41	egamma	0	0	45	0
2002-04-01 21:35:57	egamma	0	0	45	0
2002-04-08 11:54:11	kbeck	0	0	3	0
2002-06-21 17:36:49	egamma	0	0	45	0
2002-08-22 22:05:56	egamma	0	0	45	0
2002-08-31 15:28:57	egamma	0	0	45	0
2002-08-31 15:29:14	egamma	0	0	45	0
2002-08-31 15:29:52	egamma	0	0	45	0
2002-09-02 15:22:44	egamma	0	0	45	0
2002-09-02 15:22:45	egamma	0	0	45	0
2004-02-10 20:12:58	emeade	0	0	0	0
2004-09-01 14:37:07	egamma	0	0	45	0
2004-09-03 09:27:28	egamma	0	0	45	0
2004-09-09 14:53:54	kbeck	0	0	3	0
2004-09-09 14:53:55	kbeck	0	0	3	0
2004-09-09 14:53:56	kbeck	0	0	3	0
2004-09-09 14:53:57	kbeck	0	0	3	0
2004-09-11 06:49:07	egamma	0	0	45	0
2004-10-22 15:06:35	kbeck	0	0	3	0
2004-10-23 15:05:36	kbeck	0	0	3	0
2004-10-23 15:07:48	kbeck	0	0	3	0
2004-10-24 00:37:06	egamma	0	0	45	0
2006-02-15 14:55:27	dsaff	0	23	0	23
2006-02-15 14:55:29	dsaff	0	0	0	23
2006-02-15 14:55:32	dsaff	0	0	0	23
2006-02-16 00:29:33	kbeck	0	12	3	12
2006-02-16 00:29:35	kbeck	0	6	3	18
2006-02-16 00:29:36	kbeck	0	4	3	22
2006-02-17 13:38:12	kbeck	0	1	3	23
2006-02-19 12:04:01	kbeck	0	0	3	23
2006-03-09 16:52:15	dsaff	0	1	0	24
2006-03-16 14:09:12	dsaff	0	1	0	25
2006-04-27 15:11:51	dsaff	0	16	0	41
2006-06-01 15:27:29	kbeck	0	1	3	24
2006-06-28 13:55:36	dsaff	0	6	0	47
2006-06-29 16:06:45	kbeck	0	3	3	27
2006-06-29 16:06:46	kbeck	0	4	3	31
2006-07-20 20:15:34	kbeck	0	1	3	32
2006-08-03 15:03:01	kbeck	0	6	3	38
2006-08-25 07:37:09	cmschmidt	0	4	0	4
2006-08-25 07:43:02	cmschmidt	-7	24	-7	28
2006-08-25 07:43:03	cmschmidt	0	2	-7	30
2006-11-02 14:56:55	kbeck	0	2	3	40
2006-11-16 11:17:41	dsaff	0	9	0	56
2006-11-16 11:17:42	dsaff	0	5	0	61
2006-11-21 10:53:33	dsaff	0	15	0	76
2006-11-21 11:52:30	dsaff	0	10	0	86
2006-11-30 12:00:21	dsaff	0	0	0	86
2006-12-05 17:22:48	kbeck	0	13	3	53
2006-12-12 18:10:50	dsaff	0	6	0	92
2006-12-12 18:10:51	dsaff	0	12	0	104
2006-12-27 09:45:54	dsaff	0	33	0	137
2006-12-27 14:27:22	dsaff	0	6	0	143
2007-01-24 08:32:59	dsaff	0	0	0	143
2007-02-07 19:29:22	kbeck	0	2	3	55
2007-02-08 14:45:20	kbeck	0	0	3	55
2007-02-08 14:45:21	kbeck	0	1	3	56
2007-02-21 06:44:00	dsaff	0	4	0	147
2007-02-21 06:46:51	dsaff	0	0	0	147
2007-02-21 07:19:39	dsaff	0	0	0	147
2007-02-21 09:12:37	dsaff	0	-1	0	146
2007-02-21 10:24:11	dsaff	0	0	0	146
2007-02-21 12:26:29	dsaff	0	2	0	148
2007-02-27 08:17:07	dsaff	0	4	0	152
2007-02-27 08:17:26	dsaff	0	0	0	152
2007-02-27 08:17:47	dsaff	0	0	0	152
2007-03-02 08:19:25	kbeck	0	2	3	58
2007-03-20 07:43:49	dsaff	0	6	0	158
2007-03-20 07:43:50	dsaff	0	4	0	162
2007-03-20 07:43:51	dsaff	0	0	0	162
2007-03-22 10:47:52	dsaff	0	14	0	176
2007-04-26 12:56:30	dsaff	0	2	0	178
2007-04-26 12:56:31	dsaff	0	4	0	182
2007-07-02 11:10:58	dsaff	0	7	0	189
2007-07-02 11:11:11	dsaff	0	2	0	191
2007-07-02 11:11:14	dsaff	0	-2	0	189
2007-07-02 11:11:15	dsaff	0	0	0	189
2007-07-02 13:59:57	dsaff	0	0	0	189
2007-07-06 09:04:08	dsaff	0	17	0	206
2007-07-09 11:49:20	dsaff	0	8	0	214
2007-07-09 11:49:21	dsaff	0	7	0	221
2007-07-09 11:49:22	dsaff	0	7	0	228
2007-07-12 09:43:57	dsaff	0	-3	0	225
2007-07-12 10:08:21	dsaff	0	7	0	232
2007-07-12 10:08:23	dsaff	0	3	0	235
2007-07-12 10:08:26	dsaff	0	3	0	238
2007-07-16 08:20:09	dsaff	0	19	0	257
2007-07-17 10:01:16	dsaff	0	0	0	257
2007-07-17 10:01:17	dsaff	0	6	0	263
2007-07-17 10:01:18	dsaff	0	0	0	263
